Index,Date
1,1789-4-30
2,1793-3-4
3,1797-3-4
4,1801-3-4
5,1805-3-4
6,1809-3-4
7,1813-3-4
8,1817-3-4
9,1821-3-4
10,1825-3-4
11,1829-3-4
12,1833-3-4
13,1837-3-4
14,1841-3-4
15,1845-3-4
16,1849-3-5
17,1853-3-4
18,1857-3-4
19,1861-3-4
20,1865-3-4
21,1869-3-4
22,1873-3-4
23,1877-3-5
24,1881-3-4
25,1885-3-4
26,1889-3-4
27,1893-3-4
28,1897-3-4
29,1901-3-4
30,1905-3-4
31,1909-3-4
32,1913-3-4
33,1917-3-4
34,1921-3-4
35,1925-3-4
36,1929-3-4
37,1933-3-4
38,1937-1-20
39,1941-1-20
40,1945-1-20
41,1949-1-20
42,1953-1-20
43,1957-1-21
44,1961-1-20
45,1965-1-20
46,1969-1-20
47,1973-1-20
48,1977-1-20
49,1981-1-20
50,1985-1-21
51,1989-1-20
52,1993-1-20
53,1997-1-20
54,2001-1-20
55,2005-1-20
56,2009-1-20
57,2013-1-21
58,2017-1-20
59,2016-7-28
60,2016-7-21
61,2012-9-6
62,2012-8-30
63,2008-9-4
64,2008-8-28
65,2004-9-2
66,2004-7-29
67,2000-8-17
68,2000-8-3
69,1996-8-29
70,1996-8-15
71,1992-8-20
72,1992-7-16
73,1988-8-18
74,1988-7-21
75,1984-8-23
76,1984-7-19
77,1980-8-14
78,1980-7-17
79,1976-8-19
80,1976-7-15
81,1972-8-23
82,1972-7-14
83,1968-8-29
84,1968-8-8
85,1964-8-27
86,1964-7-16
87,1960-7-28
88,1960-7-15
89,1956-8-23
90,1956-8-17
91,1952-7-26
92,1952-7-11
93,1948-7-15
94,1948-6-24
95,1944-7-20
96,1944-6-28
97,1940-8-17
98,1940-7-19
99,1936-6-27
100,1932-8-11
101,1932-7-2
102,1932-6-16
103,1928-8-22
104,1920-6-12
105,1916-9-2
106,1916-6-10
107,1908-7-28
108,1900-7-12
109,1892-9-3
110,1888-9-11
111,1880-7-12
112,1864-6-9
113,1796-9-19
114,1837-3-4
115,1953-1-15
116,1961-1-17
117,1969-1-14
118,1974-8-8
119,1977-1-12
120,1981-1-14
121,1989-1-11
122,1993-1-5
123,2001-1-18
124,2009-1-15
125,2017-1-10
126,2016-8-31
127,2016-9-7
128,2017-1-11