,File,Author,Type,Date
1,farewellAndrewJackson-NA.txt,AJackson,farewell,1837-3-4
2,farewellBarackObama-NA.txt,BObama,farewell,2017-1-10
3,farewellDwightDEisenhower-NA.txt,DDEisenhower,farewell,1961-1-17
4,farewellGeorgeBush-NA.txt,GBush,farewell,1993-1-5
5,farewellGeorgeWashington-NA.txt,GWashington,farewell,1796-9-19
6,farewellGeorgeWBush-NA.txt,GWBush,farewell,2009-1-15
7,farewellGeraldRFord-NA.txt,GRFord,farewell,1977-1-12
8,farewellHarrySTruman-NA.txt,HSTruman,farewell,1953-1-15
9,farewellJimmyCarter-NA.txt,JCarter,farewell,1981-1-14
10,farewellLyndonBJohnson-NA.txt,LBJohnson,farewell,1969-1-14
11,farewellRichardNixon-NA.txt,RNixon,farewell,1974-8-8
12,farewellRonaldReagan-NA.txt,RReagan,farewell,1989-1-11
13,farewellWilliamJClinton-NA.txt,WJClinton,farewell,2001-1-18
14,inaugAbrahamLincoln-1.txt,ALincoln,inaug,1861-3-4
15,inaugAbrahamLincoln-2.txt,ALincoln,inaug,1865-3-4
16,inaugAndrewJackson-1.txt,AJackson,inaug,1829-3-4
17,inaugAndrewJackson-2.txt,AJackson,inaug,1833-3-4
18,inaugBarackObama-1.txt,BObama,inaug,2009-1-20
19,inaugBarackObama-2.txt,BObama,inaug,2013-1-21
20,inaugBenjaminHarrison-1.txt,BHarrison,inaug,1889-3-4
21,inaugCalvinCoolidge-1.txt,CCoolidge,inaug,1925-3-4
22,inaugDonaldJTrump-1.txt,DTrump,inaug,2017-1-20
23,inaugDwightDEisenhower-1.txt,DDEisenhower,inaug,1953-1-20
24,inaugDwightDEisenhower-2.txt,DDEisenhower,inaug,1957-1-21
25,inaugFranklinDRoosevelt-1.txt,FDRoosevelt,inaug,1933-3-4
26,inaugFranklinDRoosevelt-2.txt,FDRoosevelt,inaug,1937-1-20
27,inaugFranklinDRoosevelt-3.txt,FDRoosevelt,inaug,1941-1-20
28,inaugFranklinDRoosevelt-4.txt,FDRoosevelt,inaug,1945-1-20
29,inaugFranklinPierce-1.txt,FPierce,inaug,1853-3-4
30,inaugGeorgeBush-1.txt,GBush,inaug,1989-1-20
31,inaugGeorgeWashington-1.txt,GWashington,inaug,1789-4-30
32,inaugGeorgeWashington-2.txt,GWashington,inaug,1793-3-4
33,inaugGeorgeWBush-1.txt,GWBush,inaug,2001-1-20
34,inaugGeorgeWBush-2.txt,GWBush,inaug,2005-1-20
35,inaugGroverCleveland-I-1.txt,GCleveland,inaug,1885-3-4
36,inaugGroverCleveland-II-2.txt,GCleveland,inaug,1893-3-4
37,inaugHarrySTruman-1.txt,HSTruman,inaug,1949-1-20
38,inaugHerbertHoover-1.txt,HHoover,inaug,1929-3-4
39,inaugJamesBuchanan-1.txt,JBuchanan,inaug,1857-3-4
40,inaugJamesGarfield-1.txt,JGarfield,inaug,1881-3-4
41,inaugJamesKPolk-1.txt,JKPolk,inaug,1845-3-4
42,inaugJamesMadison-1.txt,JMadison,inaug,1809-3-4
43,inaugJamesMadison-2.txt,JMadison,inaug,1813-3-4
44,inaugJamesMonroe-1.txt,JMonroe,inaug,1817-3-4
45,inaugJamesMonroe-2.txt,JMonroe,inaug,1821-3-4
46,inaugJimmyCarter-1.txt,JCarter,inaug,1977-1-20
47,inaugJohnAdams-1.txt,JAdams,inaug,1797-3-4
48,inaugJohnFKennedy-1.txt,JFKennedy,inaug,1961-1-20
49,inaugJohnQuincyAdams-1.txt,JQAdams,inaug,1825-3-4
50,inaugLyndonBJohnson-1.txt,LBJohnson,inaug,1965-1-20
51,inaugMartinvanBuren-1.txt,MBuren,inaug,1837-3-4
52,inaugRichardNixon-1.txt,RNixon,inaug,1969-1-20
53,inaugRichardNixon-2.txt,RNixon,inaug,1973-1-20
54,inaugRonaldReagan-1.txt,RReagan,inaug,1981-1-20
55,inaugRonaldReagan-2.txt,RReagan,inaug,1985-1-21
56,inaugRutherfordBHayes-1.txt,RBHayes,inaug,1877-3-5
57,inaugTheodoreRoosevelt-1.txt,TRoosevelt,inaug,1905-3-4
58,inaugThomasJefferson-1.txt,TJefferson,inaug,1801-3-4
59,inaugThomasJefferson-2.txt,TJefferson,inaug,1805-3-4
60,inaugUlyssesSGrant-1.txt,USGrant,inaug,1869-3-4
61,inaugUlyssesSGrant-2.txt,USGrant,inaug,1873-3-4
62,inaugWarrenGHarding-1.txt,WGHarding,inaug,1921-3-4
63,inaugWilliamHenryHarrison-1.txt,WHHarrison,inaug,1841-3-4
64,inaugWilliamHowardTaft-1.txt,WHTaft,inaug,1909-3-4
65,inaugWilliamJClinton-1.txt,WJClinton,inaug,1993-1-20
66,inaugWilliamJClinton-2.txt,WJClinton,inaug,1997-1-20
67,inaugWilliamMcKinley-1.txt,WMKinley,inaug,1897-3-4
68,inaugWilliamMcKinley-2.txt,WMKinley,inaug,1901-3-4
69,inaugWoodrowWilson-1.txt,WWilson,inaug,1913-3-4
70,inaugWoodrowWilson-2.txt,WWilson,inaug,1917-3-4
71,inaugZacharyTaylor-1.txt,ZTaylor,inaug,1849-3-5
72,nominAbrahamLincoln-1.txt,ALincoln,nomin,1864-6-9
73,nominAdlaiStevenson-1.txt,AStevenson,nomin,1956-8-17
74,nominAdlaiStevenson-2.txt,AStevenson,nomin,1952-7-26
75,"nominAlbertGore,Jr-1.txt",AGoreJr,nomin,2000-8-17
76,nominAlSmith-1.txt,AISmith,nomin,1928-8-22
77,nominBarackObama-1.txt,BObama,nomin,2008-8-28
78,nominBarackObama-2.txt,BObama,nomin,2012-9-6
79,nominBarryGoldwater-1.txt,BGoldwater,nomin,1964-7-16
80,nominBenjaminHarrison-1.txt,BHarrison,nomin,1888-9-11
81,nominBenjaminHarrison-2.txt,BHarrison,nomin,1892-9-3
82,nominCharlesEHughes-1.txt,CEHughes,nomin,1916-6-10
83,nominDonaldJTrump-1.txt,DTrump,nomin,2016-7-21
84,nominDwightDEisenhower-1.txt,DDEisenhower,nomin,1952-7-11
85,nominDwightDEisenhower-2.txt,DDEisenhower,nomin,1956-8-23
86,nominFranklinDRoosevelt-1.txt,FDRoosevelt,nomin,1932-7-2
87,nominFranklinDRoosevelt-2.txt,FDRoosevelt,nomin,1936-6-27
88,nominFranklinDRoosevelt-3.txt,FDRoosevelt,nomin,1940-7-19
89,nominFranklinDRoosevelt-4.txt,FDRoosevelt,nomin,1944-7-20
90,nominGeorgeBush-1.txt,GBush,nomin,1988-8-18
91,nominGeorgeBush-2.txt,GBush,nomin,1992-8-20
92,nominGeorgeMcGovern-1.txt,GMGovern,nomin,1972-7-14
93,nominGeorgeWBush-1.txt,GWBush,nomin,2000-8-3
94,nominGeorgeWBush-2.txt,GWBush,nomin,2004-9-2
95,nominGeraldRFord-0.txt,GRFord,nomin,1976-8-19
96,nominHarrySTruman-1.txt,HSTruman,nomin,1948-7-15
97,nominHerbertHoover-1.txt,HHoover,nomin,1932-6-16
98,nominHerbertHoover-2.txt,HHoover,nomin,1932-8-11
99,nominHillaryClinton-1.txt,HClinton,nomin,2016-7-28
100,nominHubertHHumphrey-1.txt,HHHumphrey,nomin,1968-8-29
101,nominJamesAGarfield-1.txt,JAGarfield,nomin,1880-7-12
102,nominJimmyCarter-1.txt,JCarter,nomin,1976-7-15
103,nominJimmyCarter-2.txt,JCarter,nomin,1980-8-14
104,nominJohnFKennedy-1.txt,JFKennedy,nomin,1960-7-15
105,nominJohnFKerry-1.txt,JFKerry,nomin,2004-7-29
106,nominJohnMcCain-1.txt,JMCain,nomin,2008-9-4
107,nominLyndonBJohnson-1.txt,LBJohnson,nomin,1964-8-27
108,nominMichaelDukakis-1.txt,MDukakis,nomin,1988-7-21
109,nominMittRomney-1.txt,MRomney,nomin,2012-8-30
110,nominRichardNixon-0.txt,RNixon,nomin,1960-7-28
111,nominRichardNixon-1.txt,RNixon,nomin,1968-8-8
112,nominRichardNixon-2.txt,RNixon,nomin,1972-8-23
113,nominRobertDole-1.txt,RDole,nomin,1996-8-15
114,nominRonaldReagan-1.txt,RReagan,nomin,1980-7-17
115,nominRonaldReagan-2.txt,RReagan,nomin,1984-8-23
116,nominThomasEDewey-1.txt,TEDewey,nomin,1944-6-28
117,nominThomasEDewey-2.txt,TEDewey,nomin,1948-6-24
118,nominWalterFMondale-1.txt,WFMondale,nomin,1984-7-19
119,nominWarrenGHarding-1.txt,WGHarding,nomin,1920-6-12
120,nominWendellLWillkie-1.txt,WIWillkie,nomin,1940-8-17
121,nominWilliamHowardTaft-1.txt,WHTaft,nomin,1908-7-28
122,nominWilliamJClinton-1.txt,WJClinton,nomin,1992-7-16
123,nominWilliamJClinton-2.txt,WJClinton,nomin,1996-8-29
124,nominWilliamMcKinley-1.txt,WMKinley,nomin,1900-7-12
125,nominWoodrowWilson-1.txt,WWilson,nomin,1916-9-2
126,PressDonaldTrump-NA.txt,DTrump,speech,2017-1-11
127,SpeechDonaldTrump-NA.txt,DTrump,speech,2016-8-31
128,SpeechDonaldTrump-NA2.txt,DTrump,speech,2016-9-7